image_path,source_dataset,split,latex,mhchem_candidate,normalization_status,normalization_notes,reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\3_0.png,PEaCE_real_world_test_set,real_world_test,B E T \; s u r f a c e \\ a r e a \; [ m ^ { 2 } \; g ^ { - 1 } ],\ce{BET surface \ area [m^2 g^-1]},expression_only,no reaction arrow detected,"{""source_latex"": ""B E T \\; s u r f a c e \\\\ a r e a \\; [ m ^ { 2 } \\; g ^ { - 1 } ]"", ""plain_candidate"": ""BET surface \\ area [m^2 g^-1]"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\3_4.png,PEaCE_real_world_test_set,real_world_test,C r y s t a l l i t e \\ s i z e ^ { b } \; [ \mathring { A } ],\ce{Crystallite \ size^b [A]},expression_only,no reaction arrow detected,"{""source_latex"": ""C r y s t a l l i t e \\\\ s i z e ^ { b } \\; [ \\mathring { A } ]"", ""plain_candidate"": ""Crystallite \\ size^b [A]"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\3_8.png,PEaCE_real_world_test_set,real_world_test,C O _ { 2 } \; d e s o r p t i o n \\ t e m p e r a t u r e ^ { e } \; [ ^ { \circ } C ],\ce{CO2 desorption \ temperature^e [^deg C]},expression_only,no reaction arrow detected,"{""source_latex"": ""C O _ { 2 } \\; d e s o r p t i o n \\\\ t e m p e r a t u r e ^ { e } \\; [ ^ { \\circ } C ]"", ""plain_candidate"": ""CO2 desorption \\ temperature^e [^deg C]"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_10.png,PEaCE_real_world_test_set,real_world_test,"G C - T C D : \; G L \; S c i e n c e , \; G C 3 2 3 ; \; c o l u m n : \; m o l e c u l a r \; s i e v e , \; 3 0 - 6 0 \; m e s h","\ce{GC-TCD : GL Science, GC323 ; column : molecular sieve, 30-60 mesh}",expression_only,no reaction arrow detected,"{""source_latex"": ""G C - T C D : \\; G L \\; S c i e n c e , \\; G C 3 2 3 ; \\; c o l u m n : \\; m o l e c u l a r \\; s i e v e , \\; 3 0 - 6 0 \\; m e s h"", ""plain_candidate"": ""GC-TCD : GL Science, GC323 ; column : molecular sieve, 30-60 mesh"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_13.png,PEaCE_real_world_test_set,real_world_test,I o n \; c h r o m a t o g r a p h y \; ( I C ),\ce{Ion chromatography (IC)},expression_only,no reaction arrow detected,"{""source_latex"": ""I o n \\; c h r o m a t o g r a p h y \\; ( I C )"", ""plain_candidate"": ""Ion chromatography (IC)"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_14.png,PEaCE_real_world_test_set,real_world_test,"I C ; \; M e t r o h m , \; 8 8 3 \; B a s i c \; I C \; p l u s ; \; c o l u m n : \; M e t r o s e p \; A \; S u p p 4 - 2 5 0 / 4 . 0","\ce{IC ; Metrohm, 883 Basic IC plus ; column : Metrosep A Supp4-250/4 . 0}",expression_only,no reaction arrow detected,"{""source_latex"": ""I C ; \\; M e t r o h m , \\; 8 8 3 \\; B a s i c \\; I C \\; p l u s ; \\; c o l u m n : \\; M e t r o s e p \\; A \\; S u p p 4 - 2 5 0 / 4 . 0"", ""plain_candidate"": ""IC ; Metrohm, 883 Basic IC plus ; column : Metrosep A Supp4-250/4 . 0"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_4.png,PEaCE_real_world_test_set,real_world_test,G a s \; c h r o m a t o g r a p h y - m a s s \; s p e c t r o m e t r y \; ( G C - M S ),\ce{Gas chromatography-mass spectrometry (GC-MS)},expression_only,no reaction arrow detected,"{""source_latex"": ""G a s \\; c h r o m a t o g r a p h y - m a s s \\; s p e c t r o m e t r y \\; ( G C - M S )"", ""plain_candidate"": ""Gas chromatography-mass spectrometry (GC-MS)"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_5.png,PEaCE_real_world_test_set,real_world_test,H e w l e t t \; P a c k a r d \; s y s t e m \; G C : \; H P 6 8 9 0 ; \; C P - P o r a B O N D \; Q ),\ce{Hewlett Packard system GC : HP6890 ; CP-PoraBOND Q)},expression_only,no reaction arrow detected,"{""source_latex"": ""H e w l e t t \\; P a c k a r d \\; s y s t e m \\; G C : \\; H P 6 8 9 0 ; \\; C P - P o r a B O N D \\; Q )"", ""plain_candidate"": ""Hewlett Packard system GC : HP6890 ; CP-PoraBOND Q)"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_7.png,PEaCE_real_world_test_set,real_world_test,G C - f l a m e \; i o n i z a t i o n \; d e t e c t i o n \; ( G F - F I D ),\ce{GC-flame ionization detection (GF-FID)},expression_only,no reaction arrow detected,"{""source_latex"": ""G C - f l a m e \\; i o n i z a t i o n \\; d e t e c t i o n \\; ( G F - F I D )"", ""plain_candidate"": ""GC-flame ionization detection (GF-FID)"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_8.png,PEaCE_real_world_test_set,real_world_test,"G C - F I D : \; G L \; S c i e n c e , \; G C 4 0 0 0 ; \; c o l u m n \; f o r \; g a s : \; C P - P o r a B O N D \; Q","\ce{GC-FID : GL Science, GC4000 ; column for gas : CP-PoraBOND Q}",expression_only,no reaction arrow detected,"{""source_latex"": ""G C - F I D : \\; G L \\; S c i e n c e , \\; G C 4 0 0 0 ; \\; c o l u m n \\; f o r \\; g a s : \\; C P - P o r a B O N D \\; Q"", ""plain_candidate"": ""GC-FID : GL Science, GC4000 ; column for gas : CP-PoraBOND Q"", ""arrow"": """", ""conditions"": [], ""reactants"": [], ""products"": []}"
