image_path,source_dataset,source_label,target_label,split
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/1.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/10.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/100.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/101.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/102.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/103.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/104.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/105.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/106.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/107.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,test
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/108.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/109.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
D:\competition\date\data\raw\ChemicalImagesClassifier\dataset_for_image_classifier.zip!dataset_for_image_classifier/classified/one_molecule/11.png,Chemical Images Classifier Dataset,one_molecule,chemical_structure_single,train
