image_path,source_dataset,split,latex,normalization_target
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\3_0.png,PEaCE_real_world_test_set,real_world_test,B E T \; s u r f a c e \\ a r e a \; [ m ^ { 2 } \; g ^ { - 1 } ],mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\3_4.png,PEaCE_real_world_test_set,real_world_test,C r y s t a l l i t e \\ s i z e ^ { b } \; [ \mathring { A } ],mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\3_8.png,PEaCE_real_world_test_set,real_world_test,C O _ { 2 } \; d e s o r p t i o n \\ t e m p e r a t u r e ^ { e } \; [ ^ { \circ } C ],mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_10.png,PEaCE_real_world_test_set,real_world_test,"G C - T C D : \; G L \; S c i e n c e , \; G C 3 2 3 ; \; c o l u m n : \; m o l e c u l a r \; s i e v e , \; 3 0 - 6 0 \; m e s h",mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_13.png,PEaCE_real_world_test_set,real_world_test,I o n \; c h r o m a t o g r a p h y \; ( I C ),mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_14.png,PEaCE_real_world_test_set,real_world_test,"I C ; \; M e t r o h m , \; 8 8 3 \; B a s i c \; I C \; p l u s ; \; c o l u m n : \; M e t r o s e p \; A \; S u p p 4 - 2 5 0 / 4 . 0",mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_4.png,PEaCE_real_world_test_set,real_world_test,G a s \; c h r o m a t o g r a p h y - m a s s \; s p e c t r o m e t r y \; ( G C - M S ),mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_5.png,PEaCE_real_world_test_set,real_world_test,H e w l e t t \; P a c k a r d \; s y s t e m \; G C : \; H P 6 8 9 0 ; \; C P - P o r a B O N D \; Q ),mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_7.png,PEaCE_real_world_test_set,real_world_test,G C - f l a m e \; i o n i z a t i o n \; d e t e c t i o n \; ( G F - F I D ),mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_8.png,PEaCE_real_world_test_set,real_world_test,"G C - F I D : \; G L \; S c i e n c e , \; G C 4 0 0 0 ; \; c o l u m n \; f o r \; g a s : \; C P - P o r a B O N D \; Q",mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_9.png,PEaCE_real_world_test_set,real_world_test,G C - t h e r m a l \; c o n d u c t i v i t y \; d e t e c t i o n \; ( G C - T C D ),mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\2_1.png,PEaCE_real_world_test_set,real_world_test,P l a s t i c \; M i x t u r e,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\4_44.png,PEaCE_real_world_test_set,real_world_test,M A H s,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\4_50.png,PEaCE_real_world_test_set,real_world_test,P A H s,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\5_25.png,PEaCE_real_world_test_set,real_world_test,M g O,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\5_4.png,PEaCE_real_world_test_set,real_world_test,B E T \; s u r f a c e \; a r e a,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\7_10.png,PEaCE_real_world_test_set,real_world_test,g e n e r a l \\ m e t h y l - a r o m a t i c \; ( C H _ { 3 } - A R ) \\ m e t h y l - a r o m a t i c \; a t \; o r t h o \; p o s i t i o n \; o f \; a \; h y d r o x y l \; o r \\ m e t h o x y l \; g r o u p \; ( C H _ { 3 } - A R ' ),mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\8_3.png,PEaCE_real_world_test_set,real_world_test,S _ { B E T } ^ { b } \; ( m ^ { 2 } \; g ^ { - 1 } ),mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\11_10.png,PEaCE_real_world_test_set,real_world_test,4 ^ { \circ } C / m i n \quad H _ { 2 } \; f l o w \quad 3 0 \; m L / m i n,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\11_12.png,PEaCE_real_world_test_set,real_world_test,3 0 0 ^ { \circ } C \; ( 1 5 \; m i n ) \quad A i r \; f l o w \quad 4 0 0 \; mL / m i n,mhchem_or_reaction_json
